"Name","best_val","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","attribute","batch_size","collections","data_root","dataset","debug","detection_classes","early_stop.delta","early_stop.patience","entity","hflip.apply","hflip.p","local_logs","logging","lr_scheduler.gamma","lr_scheduler.name","lr_scheduler.step_size","max_epochs","model","model_out_path","model_type","normalize.apply","normalize.max_pixel_value","normalize.mean","normalize.std","num_classes","num_workers","optimizer.lr","optimizer.momentum","optimizer.name","optimizer.weight_decay","rotate.apply","rotate.limit","rotate.p","sanity_epoch","sanity_num","segmentation_classes","shuffle","split_ratio","vflip.apply","vflip.p","wandb_project","class_metrics","grad_method","lr_scheduler.cooldown","lr_scheduler.milestones","lr_scheduler.patience","w_constant","weight","temperature","test_manifest","batch","best_val_loss","epoch","epoch_sanity","loss","lr-Adam","lr-SGD","train_loss","train_loss_epoch","train_loss_step","trainer/global_step","val_loss","val_loss_epoch","val_loss_step","val_miou","val_miou_step","val_result","val_map","val_miou_epoch","earlystop","train_det_epoch","train_det_step","train_master_epoch","train_master_step","train_seg_epoch","train_seg_step","val_det","val_map_step","val_master","val_seg"
"frcnn-hybrid_dwa-graddrop_23-02-16T234854","0.7968465685844421","2zmkn1qy","crashed","-","bbejczy","","","dwa-grad","2023-02-16T22:48:58.000Z","2023-02-17T22:47:02.000Z","2023-02-17T22:47:02.000Z","86284","","n-62-20-11","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","Tesla V100-SXM2-32GB","dwa-graddrop","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","graddrop","","","","[1,1]","dynamic","2","/work3/s202821/data/test/manifest.json","","","99","99","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7960087656974792","","","","","","","","","",""
"frcnn-hybrid_uc-cagrad_23-02-16T140258","0.7844523191452026","1j0aqr2m","finished","-","bbejczy","","","uc-grad","2023-02-16T13:03:05.000Z","2023-02-17T12:51:21.000Z","2023-02-17T12:51:21.000Z","85696","","n-62-12-22","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","uc-cagrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","cagrad","","","","","uncertainty","","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7841688394546509","","","","","","","","","",""
"frcnn-hybrid_uc-pcgrad_23-02-16T013822","0.7795903086662292","r4i66qi7","finished","-","bbejczy","","","uc-grad","2023-02-16T00:38:26.000Z","2023-02-16T23:57:46.000Z","2023-02-16T23:57:46.000Z","83960","","n-62-12-24","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","uc-pcgrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","pcgrad","","","","","uncertainty","","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7795903086662292","","","","","","","","","",""
"frcnn-hybrid_bmtl_23-02-16T003206","0.7986103296279907","3ny1ktwq","finished","-","bbejczy","","","bmtl-grad, bmtl-scale, weighting","2023-02-15T23:32:11.000Z","2023-02-25T15:02:16.000Z","2023-02-16T22:47:20.000Z","83709","","n-62-20-3","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","Tesla V100-PCIE-16GB","bmtl","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","","bmtl","0.8","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7984559535980225","","","","","","","","","",""
"frcnn-hybrid_5v1_23-02-16T001810","0.8110130429267883","18k4o4ds","finished","-","bbejczy","","","constant","2023-02-15T23:18:14.000Z","2023-02-25T16:29:11.000Z","2023-02-16T21:26:24.000Z","79690","","n-62-20-6","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","Tesla V100-PCIE-16GB","5v1","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","[5,1]","constant","","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.8110130429267883","","","","","","","","","",""
"frcnn-hybrid_10v1_23-02-16T001236","0.8138043880462646","3a87ewxq","finished","-","bbejczy","","","constant, constant-grad, res, weighting","2023-02-15T23:12:40.000Z","2023-02-25T16:26:53.000Z","2023-02-16T21:19:43.000Z","79623","","n-62-20-7","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","Tesla V100-PCIE-16GB","10v1","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","[10,1]","constant","","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.813798189163208","","","","","","","","","",""
"frcnn-hybrid_uc-graddrop_23-02-16T000240","0.7936310768127441","1sny2lga","crashed","-","bbejczy","","","uc-grad","2023-02-15T23:02:44.000Z","2023-02-16T23:03:17.000Z","2023-02-16T23:03:17.000Z","86433","","n-62-12-21","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","uc-graddrop","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","graddrop","","","","","uncertainty","","/work3/s202821/data/test/manifest.json","","","93","93","","1.0000000000000008e-14","","","","","19549","","","","","","","","","0.7936310768127441","","","","","","","","","",""
"frcnn-hybrid_uncertainty_23-02-16T000024","0.7865238785743713","vx18a8d2","crashed","-","bbejczy","","","uc-grad, weighting","2023-02-15T23:00:28.000Z","2023-02-25T15:01:43.000Z","2023-02-16T22:59:31.000Z","86343","","n-62-12-23","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","uncertainty","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","","uncertainty","","/work3/s202821/data/test/manifest.json","","","93","93","","1.0000000000000008e-14","","","","","19549","","","","","","","","","0.7864411473274231","","","","","","","","","",""
"frcnn-hybrid_cagrad_23-02-15T235953","0.7659777402877808","1urrnprf","crashed","-","bbejczy","","","none-grad","2023-02-15T22:59:57.000Z","2023-02-16T22:59:30.000Z","2023-02-16T22:59:30.000Z","86373","","n-62-12-21","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","cagrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","cagrad","","","","","equal","","/work3/s202821/data/test/manifest.json","","","97","97","","1.0000000000000009e-15","","","","","20349","","","","","","","","","0.7649745941162109","","","","","","","","","",""
"frcnn-hybrid_graddrop_23-02-15T235924","0.7837004661560059","140gcb2s","crashed","-","bbejczy","","","none-grad","2023-02-15T22:59:28.000Z","2023-02-16T22:59:30.000Z","2023-02-16T22:59:30.000Z","86402","","n-62-12-23","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","graddrop","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","graddrop","","","","","equal","","/work3/s202821/data/test/manifest.json","","","99","99","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7830684185028076","","","","","","","","","",""
"frcnn-hybrid_pcgrad_23-02-15T155512","0.7623196840286255","111qwejh","finished","-","bbejczy","","","none-grad","2023-02-15T14:55:18.000Z","2023-02-16T13:00:39.000Z","2023-02-16T13:00:39.000Z","79521","","n-62-18-9","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100 80GB PCIe","pcgrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","true","pcgrad","","","","","equal","","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7623196840286255","","","","","","","","","",""
"ssdlite-hybrid_equal_23-02-14T235500","0.7031242251396179","1h3dmwcg","crashed","-","bbejczy","","","singlevsmulti","2023-02-14T22:55:04.000Z","2023-02-25T15:00:48.000Z","2023-02-15T22:54:07.000Z","86343","","n-62-12-21","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","equal","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","ssdlite-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","","equal","","/work3/s202821/data/test/manifest.json","","","55","55","","1.0000000000000003e-9","","","","","11599","","","","","","","","","0.7031242251396179","","","","","","","","","",""
"deeplabv3_23-02-14T235445","0.93837171792984","t81d17n3","finished","-","bbejczy","","","singlevsmulti","2023-02-14T22:54:49.000Z","2023-02-24T16:41:34.000Z","2023-02-14T23:57:30.000Z","3761","","n-62-12-22","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","deeplabv3","/work3/s202821/models","[""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","true","","","","","","","","/work3/s202821/data/test/manifest.json","","","65","66","","1.0000000000000006e-11","","","","","13727","","","","","","","","","0.9383711218833924","","","","","","","","","",""
"ssdlite_23-02-14T235429","0.44839781522750854","2pxjve27","crashed","-","bbejczy","","","singlevsmulti","2023-02-14T22:54:33.000Z","2023-02-24T16:41:30.000Z","2023-02-15T22:54:06.000Z","86373","","n-62-12-23","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","ssdlite","/work3/s202821/models","[""detection""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","true","","","","","","","","/work3/s202821/data/test/manifest.json","","","28","28","","0.0000010000000000000002","","","","","5999","","","","","","","","","0.44839781522750854","","","","","","","","","",""
"frcnn_23-02-14T235417","0.51768958568573","2mwd07b0","finished","-","bbejczy","","","singlevsmulti","2023-02-14T22:54:22.000Z","2023-02-24T16:41:24.000Z","2023-02-15T21:29:11.000Z","81289","","n-62-12-24","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn","/work3/s202821/models","[""detection""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","true","","","","","","","","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.51768958568573","","","","","","","","","",""
"frcnn-hybrid_equal_23-02-14T235356","0.7703107595443726","3g9znbyd","crashed","-","bbejczy","","","control, equal, none-grad, res, singlevsmulti, weighting","2023-02-14T22:54:00.000Z","2023-02-25T15:01:30.000Z","2023-02-15T22:54:03.000Z","86403","","n-62-12-21","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","equal","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","true","","","","","","equal","","/work3/s202821/data/test/manifest.json","","","95","95","","1.0000000000000008e-14","","","","","19949","","","","","","","","","0.7700413465499878","","","","","","","","","",""
"lraspp-hybrid_equal_23-02-14T235345","0.7044782042503357","2x5eh5lx","crashed","-","bbejczy","","","singlevsmulti","2023-02-14T22:53:49.000Z","2023-02-24T16:41:14.000Z","2023-02-15T22:53:52.000Z","86403","","n-62-12-23","","","https://github.com/ponderbb/multitask-mayhem/tree/17c3fedb97521c6554846e8250fea671afd810a0","1","NVIDIA A100-PCIE-40GB","equal","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","lraspp-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","","equal","","/work3/s202821/data/test/manifest.json","","","63","63","","1.0000000000000006e-10","","","","","13299","","","","","","","","","0.7044782042503357","","","","","","","","","",""